  0. -2.63734747  0. -2.63734747
  0.100000001 -2.63734753  0.0182860941 -2.65563363
  0.200000003 -2.63734791  0.0744702816 -2.71181819
  0.300000012 -2.63734955  0.172346264 -2.80969581
  0.400000006 -2.63735579  0.316781104 -2.9541369
  0.5 -2.63736861  0.507356346 -3.14472496
  0.600000024 -2.63737559  0.72204572 -3.35942131
  0.699999988 -2.63737549  0.91008395 -3.54745944
  0.800000012 -2.63741332  1.03401518 -3.6714285
  0.900000036 -2.63736152  1.07893836 -3.71629988
  1. -2.63746486  1.05149877 -3.68896363
  1.10000002 -2.63744059  1.03534114 -3.67278173
  1.20000005 -2.63744067  1.08624625 -3.72368692
  1.30000007 -2.63743712  1.2153219 -3.85275902
  1.39999998 -2.63745545  1.40540457 -4.04286002
  1.5 -2.63742865  1.63579559 -4.27322424
  1.60000002 -2.63747586  1.88437033 -4.52184619
  1.70000005 -2.63754576  2.14880276 -4.78634852
  1.80000007 -2.63754741  2.39138103 -5.02892843
  1.89999998 -2.63755472  2.50899982 -5.14655455
  2. -2.63755232  2.56312728 -5.2006796
  2.10000014 -2.63742281  2.65616798 -5.29359079
  2.20000005 -2.63760504  2.7416985 -5.37930355
  2.29999995 -2.63760958  2.87830329 -5.51591287
  2.4000001 -2.63763035  3.13697362 -5.77460397
  2.5 -2.63805049  3.41422796 -6.05227845
  2.60000014 -2.64256808  3.38302517 -6.02559325
  2.70000005 -2.64249443  3.35266757 -5.995162
  2.79999995 -2.64477259  3.28460717 -5.92937976
  2.9000001 -2.64466382  3.27360249 -5.9182663
  3. -2.64466225  3.31218576 -5.95684802
  3.10000014 -2.64498474  3.33603477 -5.98101952
  3.20000005 -2.64525397  3.33105564 -5.97630961
  3.29999995 -2.64528781  3.31404209 -5.9593299
  3.4000001 -2.64530017  3.34119391 -5.98649409
  3.5 -2.64526274  3.35362506 -5.99888779
  3.60000014 -2.64528996  3.32981539 -5.97510534
  3.70000005 -2.64525481  3.49916744 -6.14442226
  3.79999995 -2.64521453  3.88015079 -6.52536533
  3.9000001 -2.64529992  4.08131933 -6.72661926
  4. -2.64548225  4.3062501 -6.95173235
  4.0999999 -2.64550534  4.55546236 -7.2009677
  4.20000029 -2.64539943  4.63526297 -7.28066239
  4.30000019 -2.64523186  4.42782593 -7.07305779
  4.4000001 -2.6454623  4.18777418 -6.83323648
  4.5 -2.64546546  3.98865652 -6.63412198
  4.5999999 -2.64544846  3.82518435 -6.4706328
  4.70000029 -2.6461969  3.67015982 -6.31635672
  4.80000019 -2.64581627  3.52899051 -6.17480678
  4.9000001 -2.64590422  3.35609245 -6.00199667
  5. -2.64595071  3.18380404 -5.82975474
  5.0999999 -2.64608125  3.00241232 -5.64849357
  5.20000029 -2.64603234  2.87882185 -5.52485419
  5.30000019 -2.64603623  2.78653884 -5.43257507
  5.4000001 -2.64602007  2.73425913 -5.3802792
  5.5 -2.64602854  2.72205591 -5.36808446
  5.5999999 -2.64605347  2.76880217 -5.41485563
  5.70000029 -2.64618593  2.91481256 -5.56099849
  5.80000019 -2.64617696  3.12108493 -5.76726188
  5.9000001 -2.64617587  3.2482512 -5.89442707
  6. -2.64617557  3.21599317 -5.86216874
  6.0999999 -2.64644945  3.07973456 -5.72618401
  6.20000029 -2.64638111  2.96848464 -5.61486575
  6.30000019 -2.64637603  2.8520174 -5.49839343
  6.4000001 -2.6465991  2.66377544 -5.31037454
  6.5 -2.64659367  2.44972181 -5.09631548
  6.5999999 -2.64665493  2.25514483 -4.90179976
  6.70000029 -2.64665039  2.12032723 -4.76697762
  6.80000019 -2.64665191  2.08725119 -4.73390309
  6.9000001 -2.64665108  2.1735394 -4.82019049
  7. -2.64688302  2.35806704 -5.00495006
  7.0999999 -2.64684714  2.53892708 -5.18577422
  7.20000029 -2.64688169  2.53317165 -5.18005334
  7.30000019 -2.64719083  2.5153749 -5.16256573
  7.4000001 -2.64717966  2.52736306 -5.17454273
  7.5 -2.64717338  2.54714608 -5.19431947
  7.5999999 -2.64916469  2.4546113 -5.10377599
  7.70000029 -2.64901358  2.37958717 -5.02860076
  7.80000019 -2.64906836  2.45726109 -5.10632945
  7.9000001 -2.64882784  2.64802217 -5.29685002
  8. -2.64860938  2.84131169 -5.48992107
  8.10000038 -2.64857421  2.97697783 -5.62555204
