  0. -10.6090023  0. -10.6090023
  0.100000001 -10.6090721  0.402290553 -11.0113626
  0.200000003 -10.6091357  1.70553625 -12.314672
  0.300000012 -10.6092349  3.72677207 -14.3360069
  0.400000006 -10.6094301  4.82563305 -15.4350631
  0.5 -10.6114671  3.84250855 -14.4539756
  0.600000024 -10.6113373  3.06190109 -13.6732384
  0.699999988 -10.6113311  3.2841444 -13.8954755
  0.800000012 -10.6112796  3.67683053 -14.2881101
  0.900000036 -10.6135394  3.52763391 -14.1411733
  1. -10.6135617  3.30720782 -13.9207695
  1.10000002 -10.613676  3.24196076 -13.8556368
  1.20000005 -10.6137406  3.79491401 -14.4086546
  1.30000007 -10.6135854  4.57156181 -15.1851472
  1.39999998 -10.6136089  4.43187237 -15.0454813
  1.5 -10.6137091  4.80547142 -15.4191805
  1.60000002 -10.6135764  6.25187922 -16.8654556
  1.70000005 -10.6142014  7.19336033 -17.8075617
  1.80000007 -10.6139775  7.68867493 -18.3026524
  1.89999998 -10.614138  8.0005846 -18.6147226
  2. -10.6138825  6.8327508 -17.4466333
  2.10000014 -10.6157031  7.41137552 -18.0270786
  2.20000005 -10.6158048  9.68599892 -20.3018037
  2.29999995 -10.6170233  13.1125841 -23.7296074
  2.4000001 -10.6168608  13.3999853 -24.0168461
  2.5 -10.6190969  12.6185017 -23.2375986
  2.60000014 -10.6189885  12.0660524 -22.685041
  2.70000005 -10.6190198  10.554904 -21.1739238
  2.79999995 -10.6190138  8.31059074 -18.9296046
  2.9000001 -10.6189071  6.49159002 -17.1104972
  3. -10.6190735  4.82832813 -15.4474017
  3.10000014 -10.6190146  4.05344534 -14.67246
  3.20000005 -10.6170385  4.3657465 -14.982785
  3.29999995 -10.6170936  5.11903572 -15.7361293
  3.4000001 -10.6174294  6.60828447 -17.2257139
  3.5 -10.6202605  8.28900719 -18.9092677
  3.60000014 -10.6192831  8.27788639 -18.8971694
  3.70000005 -10.6168975  7.89638805 -18.5132855
  3.79999995 -10.6161136  7.01438618 -17.6304998
  3.9000001 -10.6161855  6.10980129 -16.7259868
  4. -10.6164984  5.59043217 -16.2069305
  4.0999999 -10.61714  5.57661057 -16.1937505
  4.20000029 -10.6166885  5.72160006 -16.3382886
  4.30000019 -10.6173302  6.39538431 -17.0127145
  4.4000001 -10.6164887  7.5931139 -18.2096026
  4.5 -10.6157347  9.33795357 -19.9536883
  4.5999999 -10.6180416  9.69001961 -20.3080612
  4.70000029 -10.6173218  8.44026566 -19.0575874
  4.80000019 -10.6173296  8.79400253 -19.4113321
  4.9000001 -10.6173749  10.3501453 -20.9675203
  5. -10.6122123  11.6320477 -22.24426
  5.0999999 -10.6123406  13.6942034 -24.306544
  5.20000029 -10.6123969  15.5336618 -26.1460588
  5.30000019 -10.6116609  16.1712856 -26.7829465
  5.4000001 -10.6116281  15.8280888 -26.4397168
  5.5 -10.6118757  16.2207756 -26.8326513
  5.5999999 -10.6249091  14.3230162 -24.9479252
  5.70000029 -10.6225655  13.3677263 -23.9902918
  5.80000019 -10.6224979  12.7699738 -23.3924716
  5.9000001 -10.6225592  11.2824049 -21.9049641
  6. -10.6230866  11.3128309 -21.9359175
  6.0999999 -10.6213908  11.5330954 -22.1544862
  6.20000029 -10.620933  13.1624985 -23.7834315
  6.30000019 -10.622325  16.0594521 -26.681777
  6.4000001 -10.6277062  16.3840752 -27.0117814
  6.5 -10.631507  15.7607508 -26.3922578
  6.5999999 -10.6315336  13.4872255 -24.1187592
  6.70000029 -10.6322855  13.2530069 -23.8852924
  6.80000019 -10.6283221  14.7749634 -25.4032854
  6.9000001 -10.6283893  15.6448069 -26.2731962
  7. -10.6321217  16.4231644 -27.0552861
  7.0999999 -10.6301939  13.8260927 -24.4562866
  7.20000029 -10.6204283  10.3087139 -20.9291422
  7.30000019 -10.6198456  7.29741716 -17.9172628
  7.4000001 -10.6198143  6.50803423 -17.1278485
  7.5 -10.6202261  7.83076906 -18.4509952
  7.5999999 -10.6194414  9.79671097 -20.4161524
  7.70000029 -10.6207047  8.67368031 -19.294385
  7.80000019 -10.6211286  7.6355443 -18.2566729
  7.9000001 -10.6211063  7.94551229 -18.5666186
  8. -10.6214283  9.05655479 -19.6779831
  8.10000038 -10.6190523  10.1832933 -20.8023457
