  0. -6.78547952  0. -6.78547952
  0.100000001 -6.78547967  0.0678331777 -6.85331285
  0.200000003 -6.78548108  0.27826637 -7.06374745
  0.300000012 -6.78548887  0.651976585 -7.43746545
  0.400000006 -6.78551671  1.21893406 -8.00445077
  0.5 -6.78555383  1.99560142 -8.78115525
  0.600000024 -6.78571979  2.94790101 -9.73362081
  0.699999988 -6.78540186  3.94236279 -10.7277646
  0.800000012 -6.78543338  4.9016304 -11.6870638
  0.900000036 -6.78547554  5.9243741 -12.7098496
  1. -6.78476564  6.50268745 -13.2874531
  1.10000002 -6.78620992  6.59339714 -13.3796071
  1.20000005 -6.7862881  6.67844152 -13.4647296
  1.30000007 -6.7867262  6.92411852 -13.7108447
  1.39999998 -6.7867152  7.62014866 -14.4068639
  1.5 -6.78686966  8.66286659 -15.4497363
  1.60000002 -6.78651751  9.35370445 -16.140222
  1.70000005 -6.78669281  9.17214203 -15.9588348
  1.80000007 -6.78651412  8.08137131 -14.8678854
  1.89999998 -6.7862209  6.86510181 -13.6513227
  2. -6.78796417  5.97843027 -12.7663944
  2.10000014 -6.78799111  5.09959173 -11.8875828
  2.20000005 -6.78798204  4.2844243 -11.0724063
  2.29999995 -6.78748279  3.73989844 -10.5273812
  2.4000001 -6.78744137  3.56173038 -10.3491718
  2.5 -6.78743473  3.61004162 -10.3974764
  2.60000014 -6.78751439  3.76594591 -10.5534603
  2.70000005 -6.78750441  3.87153769 -10.6590421
  2.79999995 -6.78752248  3.77409387 -10.5616163
  2.9000001 -6.78763611  3.59655118 -10.3841873
  3. -6.787485  3.50248766 -10.2899727
  3.10000014 -6.78745323  3.49454546 -10.2819987
  3.20000005 -6.78760576  3.56829929 -10.3559051
  3.29999995 -6.78760328  3.67356896 -10.4611722
  3.4000001 -6.78801644  3.72354627 -10.5115627
  3.5 -6.78710492  3.75033426 -10.5374392
  3.60000014 -6.78704846  3.76761985 -10.5546683
  3.70000005 -6.78703129  3.83766437 -10.6246957
  3.79999995 -6.78701215  3.82947755 -10.6164897
  3.9000001 -6.7870328  3.69875789 -10.4857907
  4. -6.78703502  3.6921308 -10.4791658
  4.0999999 -6.7870339  3.88953042 -10.6765643
  4.20000029 -6.78702948  4.29919052 -11.08622
  4.30000019 -6.78702827  4.82177734 -11.6088056
  4.4000001 -6.78700775  5.20542431 -11.9924321
  4.5 -6.78697558  5.49915695 -12.2861325
  4.5999999 -6.78714587  5.65667152 -12.4438174
  4.70000029 -6.78714894  5.77750063 -12.5646496
  4.80000019 -6.78610044  6.13352251 -12.919623
  4.9000001 -6.78534213  6.61067009 -13.3960122
  5. -6.78504108  6.74766541 -13.5327065
  5.0999999 -6.78502297  6.50853729 -13.2935603
  5.20000029 -6.78496173  6.15657139 -12.9415331
  5.30000019 -6.78623901  5.74514866 -12.5313877
  5.4000001 -6.7864722  5.24596834 -12.0324405
  5.5 -6.78647086  4.7301507 -11.5166216
  5.5999999 -6.78627775  4.4350028 -11.2212806
  5.70000029 -6.78633358  4.30991364 -11.0962472
  5.80000019 -6.78628768  4.27686691 -11.0631546
  5.9000001 -6.7865707  4.32980251 -11.1163732
  6. -6.78587724  4.48183012 -11.2677074
  6.0999999 -6.78554468  4.59566545 -11.3812101
  6.20000029 -6.7854708  4.69142485 -11.4768956
  6.30000019 -6.78539098  4.82904959 -11.6144406
  6.4000001 -6.78539343  5.01095152 -11.7963449
  6.5 -6.78551487  5.37941599 -12.1649309
  6.5999999 -6.78540943  6.11698675 -12.9023962
  6.70000029 -6.7816813  7.14916992 -13.9308512
  6.80000019 -6.78167404  8.31902599 -15.1007
  6.9000001 -6.78176942  9.92176723 -16.7035367
  7. -6.78190843  12.2850876 -19.066996
  7.0999999 -6.78176012  14.5627899 -21.34455
  7.20000029 -6.78198675  15.5693502 -22.351337
  7.30000019 -6.78245038  15.6233387 -22.4057891
  7.4000001 -6.78269866  14.2331247 -21.0158234
  7.5 -6.78197327  12.0897112 -18.8716845
  7.5999999 -6.78184288  10.6702032 -17.4520461
  7.70000029 -6.78174961  9.93950748 -16.7212571
  7.80000019 -6.78194032  9.20102978 -15.9829701
  7.9000001 -6.78190038  8.31737232 -15.0992727
  8. -6.78188974  7.40456867 -14.1864584
  8.10000038 -6.78138593  6.52605772 -13.3074437
