  0. -28.5792078  0. -28.5792078
  0.100000001 -28.5792115  0.497285098 -29.0764966
  0.200000003 -28.5792661  2.09314513 -30.6724112
  0.300000012 -28.5792765  5.09815121 -33.6774277
  0.400000006 -28.5792972  9.84780598 -38.4271032
  0.5 -28.5797523  16.4488621 -45.0286144
  0.600000024 -28.5809384  25.8686256 -54.449564
  0.699999988 -28.5850009  34.4347572 -63.0197581
  0.800000012 -28.585018  38.2335205 -66.8185385
  0.900000036 -28.5850148  38.9031639 -67.4881787
  1. -28.5852367  42.5485573 -71.133794
  1.10000002 -28.5853516  46.5189781 -75.1043297
  1.20000005 -28.5849804  53.3429031 -81.9278835
  1.30000007 -28.5855527  63.7842903 -92.369843
  1.39999998 -28.5859138  78.48806 -107.073974
  1.5 -28.589801  94.7327881 -123.322589
  1.60000002 -28.5918095  72.2914124 -100.883222
  1.70000005 -28.5916292  52.4000015 -80.9916307
  1.80000007 -28.5915455  41.8613853 -70.4529309
  1.89999998 -28.5901966  36.6108093 -65.2010059
  2. -28.5902097  34.0951653 -62.685375
  2.10000014 -28.5902475  31.023983 -59.6142305
  2.20000005 -28.5907172  28.6100254 -57.2007426
  2.29999995 -28.590978  29.162508 -57.753486
  2.4000001 -28.5927175  31.9282494 -60.5209669
  2.5 -28.5945899  33.9302597 -62.5248496
  2.60000014 -28.5947191  32.3193283 -60.9140474
  2.70000005 -28.5928677  29.8672714 -58.4601391
  2.79999995 -28.593657  30.992712 -59.586369
  2.9000001 -28.594113  34.5635223 -63.1576354
  3. -28.5923937  40.1580772 -68.7504709
  3.10000014 -28.5957838  44.1590691 -72.7548529
  3.20000005 -28.5955694  48.8495178 -77.4450872
  3.29999995 -28.5958361  57.7700081 -86.3658442
  3.4000001 -28.5958213  67.4135437 -96.0093651
  3.5 -28.606792  59.7216911 -88.3284831
  3.60000014 -28.6066952  50.5161285 -79.1228238
  3.70000005 -28.6043415  44.1886482 -72.7929898
  3.79999995 -28.6041928  39.1814804 -67.7856732
  3.9000001 -28.6043727  36.2168274 -64.8212001
  4. -28.6064286  34.0383568 -62.6447854
  4.0999999 -28.606568  32.680584 -61.287152
  4.20000029 -28.6065379  32.5646019 -61.1711398
  4.30000019 -28.6066194  32.9828224 -61.5894418
  4.4000001 -28.6069516  35.9035339 -64.5104855
  4.5 -28.6068704  35.738163 -64.3450334
  4.5999999 -28.608512  32.6049118 -61.2134238
  4.70000029 -28.6105006  32.395195 -61.0056956
  4.80000019 -28.6064316  31.785265 -60.3916965
  4.9000001 -28.6064426  31.3752308 -59.9816734
  5. -28.6045278  32.4788971 -61.0834249
  5.0999999 -28.6045035  34.4298668 -63.0343703
  5.20000029 -28.6044811  38.8007469 -67.405228
  5.30000019 -28.6039888  47.2644157 -75.8684046
  5.4000001 -28.606011  53.2719421 -81.8779531
  5.5 -28.6055157  52.2761765 -80.8816921
  5.5999999 -28.6058062  49.3273773 -77.9331835
  5.70000029 -28.6063113  40.6158333 -69.2221446
  5.80000019 -28.6076012  32.2062912 -60.8138924
  5.9000001 -28.6076877  28.7025013 -57.310189
  6. -28.6076738  28.4783306 -57.0860045
  6.0999999 -28.6070413  29.696743 -58.3037843
  6.20000029 -28.6070192  35.5546989 -64.1617182
  6.30000019 -28.6203769  40.0008888 -68.6212657
  6.4000001 -28.6194693  36.8539581 -65.4734274
  6.5 -28.6194513  32.9170036 -61.5364549
  6.5999999 -28.6194987  31.9908848 -60.6103835
  6.70000029 -28.6267233  32.1694756 -60.7961989
  6.80000019 -28.6268001  32.0700035 -60.6968036
  6.9000001 -28.6267101  30.1966667 -58.8233768
  7. -28.6267302  29.6990166 -58.3257468
  7.0999999 -28.6267951  31.5161972 -60.1429923
  7.20000029 -28.6267372  35.5329056 -64.1596428
  7.30000019 -28.6235168  36.7995758 -65.4230926
  7.4000001 -28.6231449  37.2397041 -65.862849
  7.5 -28.6231759  37.629612 -66.2527879
  7.5999999 -28.6231881  39.600029 -68.2232171
  7.70000029 -28.6194961  42.7751427 -71.3946387
  7.80000019 -28.6294954  44.6954079 -73.3249032
  7.9000001 -28.6298574  43.7599831 -72.3898405
  8. -28.6300358  39.4428558 -68.0728916
  8.10000038 -28.6284114  37.0669861 -65.6953975
