  0. -2.6901375  0. -2.6901375
  0.100000001 -2.69013764  0.0162704661 -2.70640811
  0.200000003 -2.69013829  0.0658979267 -2.75603622
  0.300000012 -2.69014013  0.150782064 -2.84092219
  0.400000006 -2.69014306  0.271684766 -2.96182783
  0.5 -2.69014331  0.424081326 -3.11422463
  0.600000024 -2.69014042  0.598223686 -3.2883641
  0.699999988 -2.69015171  0.794988871 -3.48514058
  0.800000012 -2.69015045  1.04051447 -3.73066492
  0.900000036 -2.69019537  1.37139487 -4.06159024
  1. -2.69017568  1.81751072 -4.50768641
  1.10000002 -2.69046405  2.34128189 -5.03174594
  1.20000005 -2.69048703  2.81891608 -5.50940311
  1.30000007 -2.69047918  3.18621254 -5.87669172
  1.39999998 -2.69051923  3.30016255 -5.99068178
  1.5 -2.69052747  3.39593387 -6.08646134
  1.60000002 -2.69051427  3.693012 -6.38352627
  1.70000005 -2.69056051  4.09462643 -6.78518693
  1.80000007 -2.69053284  4.45333815 -7.14387099
  1.89999998 -2.6909236  5.06040573 -7.75132933
  2. -2.6908243  5.94949293 -8.64031723
  2.10000014 -2.69098059  6.56293583 -9.25391641
  2.20000005 -2.6900618  7.01062155 -9.70068335
  2.29999995 -2.69026985  7.36106205 -10.0513319
  2.4000001 -2.69047713  7.81029415 -10.5007713
  2.5 -2.69060488  7.77100372 -10.4616086
  2.60000014 -2.69060806  7.23079777 -9.92140583
  2.70000005 -2.6908566  6.52838945 -9.21924606
  2.79999995 -2.69086351  6.08142805 -8.77229156
  2.9000001 -2.69087399  5.69430828 -8.38518228
  3. -2.69251006  5.27518463 -7.96769469
  3.10000014 -2.6924555  5.08260965 -7.77506516
  3.20000005 -2.69249491  4.99117661 -7.68367152
  3.29999995 -2.69251063  5.11335611 -7.80586675
  3.4000001 -2.69250639  5.45412493 -8.14663131
  3.5 -2.69242528  5.57564306 -8.26806834
  3.60000014 -2.69260805  5.2088027 -7.90141075
  3.70000005 -2.6925582  4.78377676 -7.47633496
  3.79999995 -2.69254698  4.32621002 -7.018757
  3.9000001 -2.69261291  4.08119726 -6.77381018
  4. -2.69263783  3.99544501 -6.68808284
  4.0999999 -2.69209973  3.80627012 -6.49836986
  4.20000029 -2.69151719  3.60284185 -6.29435905
  4.30000019 -2.69172958  3.57313728 -6.26486686
  4.4000001 -2.69253173  3.64275408 -6.3352858
  4.5 -2.69307777  3.82629824 -6.51937601
  4.5999999 -2.69309379  3.94258213 -6.63567592
  4.70000029 -2.69313761  4.03117228 -6.72430988
  4.80000019 -2.69721009  4.27698708 -6.97419716
  4.9000001 -2.69715395  4.72288084 -7.42003479
  5. -2.69714  5.22804546 -7.92518546
  5.0999999 -2.69712604  5.85699177 -8.55411781
  5.20000029 -2.69721615  6.53123713 -9.22845327
  5.30000019 -2.69729403  6.95114994 -9.64844398
  5.4000001 -2.69730175  7.20227623 -9.89957798
  5.5 -2.69719572  7.1497345 -9.84693022
  5.5999999 -2.69540943  6.99543428 -9.69084372
  5.70000029 -2.69567474  6.40388441 -9.09955915
  5.80000019 -2.69346998  5.85973024 -8.55320022
  5.9000001 -2.69353239  5.50992298 -8.20345537
  6. -2.69354084  5.17499542 -7.86853626
  6.0999999 -2.69353212  4.81860399 -7.51213611
  6.20000029 -2.69352433  4.41631413 -7.10983846
  6.30000019 -2.69320713  4.07056904 -6.76377616
  6.4000001 -2.69322516  3.83335948 -6.52658464
  6.5 -2.69322715  3.78384995 -6.4770771
  6.5999999 -2.69212593  3.90126157 -6.59338749
  6.70000029 -2.69257567  4.02964067 -6.72221634
  6.80000019 -2.69272577  4.21349525 -6.90622102
  6.9000001 -2.69378133  4.42075777 -7.1145391
  7. -2.69315645  4.67810345 -7.3712599
  7.0999999 -2.69296044  4.95687723 -7.64983767
  7.20000029 -2.69240105  5.09479046 -7.78719151
  7.30000019 -2.69247999  5.19413471 -7.88661471
  7.4000001 -2.6925275  5.26161337 -7.95414087
  7.5 -2.69257004  5.29268885 -7.98525889
  7.5999999 -2.69241458  5.14628077 -7.83869535
  7.70000029 -2.69073887  4.79426479 -7.48500367
  7.80000019 -2.69032166  4.59768057 -7.28800223
  7.9000001 -2.69386742  4.4826951 -7.17656252
  8. -2.69479328  4.34364653 -7.03843981
  8.10000038 -2.69499816  4.18178368 -6.87678184
