  0. -1.79012799  0. -1.79012799
  0.100000001 -1.79012801  0.00733084744 -1.79745885
  0.200000003 -1.79012805  0.0295632631 -1.81969132
  0.300000012 -1.79012815  0.0674023479 -1.8575305
  0.400000006 -1.79012834  0.121982433 -1.91211077
  0.5 -1.79012883  0.194814876 -1.9849437
  0.600000024 -1.79012986  0.287572175 -2.07770204
  0.699999988 -1.79013023  0.401253194 -2.19138343
  0.800000012 -1.79012928  0.535580516 -2.3257098
  0.900000036 -1.79013593  0.692854941 -2.48299087
  1. -1.79015808  0.881580353 -2.67173843
  1.10000002 -1.79012768  1.09419656 -2.88432424
  1.20000005 -1.79018294  1.28732836 -3.07751131
  1.30000007 -1.79021081  1.46403027 -3.25424107
  1.39999998 -1.79029788  1.6374495 -3.42774738
  1.5 -1.79015191  1.78685653 -3.57700844
  1.60000002 -1.79023141  1.92305434 -3.71328575
  1.70000005 -1.79022991  2.107903 -3.89813291
  1.80000007 -1.79061243  2.29792166 -4.08853408
  1.89999998 -1.79000789  2.37345624 -4.16346413
  2. -1.79018222  2.29149628 -4.0816785
  2.10000014 -1.79048571  2.18997312 -3.98045883
  2.20000005 -1.79048298  2.11346912 -3.90395211
  2.29999995 -1.79048498  2.09181595 -3.88230092
  2.4000001 -1.79031219  2.11277342 -3.90308561
  2.5 -1.79044499  2.14457369 -3.93501868
  2.60000014 -1.79043906  2.25424862 -4.04468768
  2.70000005 -1.79047145  2.44615269 -4.23662414
  2.79999995 -1.79032704  2.61806822 -4.40839526
  2.9000001 -1.79034749  2.62322879 -4.41357628
  3. -1.79035786  2.4690454 -4.25940326
  3.10000014 -1.79034986  2.32853413 -4.11888399
  3.20000005 -1.7903504  2.29881644 -4.08916684
  3.29999995 -1.79027824  2.3422792 -4.13255743
  3.4000001 -1.79041491  2.39056706 -4.18098197
  3.5 -1.79047371  2.46997762 -4.26045133
  3.60000014 -1.79043638  2.61063433 -4.40107071
  3.70000005 -1.790804  2.72928953 -4.52009354
  3.79999995 -1.79082633  2.81874061 -4.60956693
  3.9000001 -1.79083927  2.95865273 -4.749492
  4. -1.79083757  3.20026731 -4.99110489
  4.0999999 -1.79090846  3.5229907 -5.31389917
  4.20000029 -1.79066901  3.88244748 -5.67311649
  4.30000019 -1.79088833  4.24960899 -6.04049732
  4.4000001 -1.79086791  4.66006565 -6.45093356
  4.5 -1.79088162  4.96941948 -6.7603011
  4.5999999 -1.79090042  5.0956316 -6.88653202
  4.70000029 -1.7906377  5.24124002 -7.03187772
  4.80000019 -1.79061876  5.52332878 -7.31394754
  4.9000001 -1.79070147  5.88622379 -7.67692526
  5. -1.79187657  6.28512287 -8.07699944
  5.0999999 -1.79222345  6.59187412 -8.38409757
  5.20000029 -1.79218234  6.47786951 -8.27005185
  5.30000019 -1.79228976  5.93394375 -7.7262335
  5.4000001 -1.79024504  5.29480076 -7.0850458
  5.5 -1.78988722  4.75590229 -6.54578951
  5.5999999 -1.78912591  4.37523746 -6.16436337
  5.70000029 -1.78921983  4.02463531 -5.81385515
  5.80000019 -1.78918622  3.7792294 -5.56841562
  5.9000001 -1.78933663  3.66465759 -5.45399422
  6. -1.78925718  3.62674427 -5.41600145
  6.0999999 -1.78926117  3.66136646 -5.45062763
  6.20000029 -1.78923663  3.75997305 -5.54920968
  6.30000019 -1.7902801  3.70778418 -5.49806427
  6.4000001 -1.79015167  3.58453202 -5.37468369
  6.5 -1.78938021  3.39112067 -5.18050088
  6.5999999 -1.78945776  3.09690809 -4.88636586
  6.70000029 -1.78951634  2.82394195 -4.61345828
  6.80000019 -1.78933405  2.56606221 -4.35539626
  6.9000001 -1.78958738  2.28677297 -4.07636034
  7. -1.78952366  2.04180813 -3.83133179
  7.0999999 -1.78952771  1.87145269 -3.66098039
  7.20000029 -1.78952936  1.79024005 -3.57976941
  7.30000019 -1.78952877  1.78439689 -3.57392566
  7.4000001 -1.78950252  1.81082213 -3.60032465
  7.5 -1.78953495  1.83536446 -3.62489941
  7.5999999 -1.78951832  1.8426367 -3.63215502
  7.70000029 -1.78957308  1.80740333 -3.59697641
  7.80000019 -1.78959143  1.75103962 -3.54063106
  7.9000001 -1.78953608  1.68301308 -3.47254916
  8. -1.78955295  1.61331248 -3.40286543
  8.10000038 -1.78951379  1.57356727 -3.36308106
