  0. -0.871031019  0. -0.871031019
  0.100000001 -0.871031019  0.00208100746 -0.873112026
  0.200000003 -0.871031018  0.00839099288 -0.879422011
  0.300000012 -0.871031022  0.019134216 -0.890165238
  0.400000006 -0.871031024  0.0346615575 -0.905692581
  0.5 -0.871031042  0.0554821603 -0.926513202
  0.600000024 -0.871031087  0.0822665468 -0.953297634
  0.699999988 -0.871031215  0.115810715 -0.98684193
  0.800000012 -0.871031508  0.156885996 -1.0279175
  0.900000036 -0.871031962  0.205824897 -1.07685686
  1. -0.871032062  0.261732459 -1.13276452
  1.10000002 -0.871031973  0.321897298 -1.19292927
  1.20000005 -0.871033657  0.382856131 -1.25388979
  1.30000007 -0.871033923  0.441567481 -1.3126014
  1.39999998 -0.871031301  0.493780822 -1.36481212
  1.5 -0.871034803  0.536594331 -1.40762913
  1.60000002 -0.87103485  0.574547648 -1.4455825
  1.70000005 -0.871034913  0.616473138 -1.48750805
  1.80000007 -0.871033765  0.670832157 -1.54186592
  1.89999998 -0.871032191  0.742366612 -1.6133988
  2. -0.871033776  0.834120035 -1.70515381
  2.10000014 -0.871035664  0.951716244 -1.82275191
  2.20000005 -0.871042269  1.10151577 -1.97255804
  2.29999995 -0.87105675  1.28410006 -2.15515681
  2.4000001 -0.870983101  1.47771144 -2.34869454
  2.5 -0.871129124  1.63777518 -2.50890431
  2.60000014 -0.871072804  1.7604866 -2.63155941
  2.70000005 -0.871212493  1.82497048 -2.69618298
  2.79999995 -0.87110451  1.84752393 -2.71862844
  2.9000001 -0.87119105  1.83038604 -2.70157709
  3. -0.871164202  1.78150988 -2.65267408
  3.10000014 -0.871164284  1.67813349 -2.54929777
  3.20000005 -0.871168599  1.52871752 -2.39988612
  3.29999995 -0.871159233  1.37301338 -2.24417261
  3.4000001 -0.871170062  1.22759056 -2.09876062
  3.5 -0.871162253  1.11250901 -1.98367127
  3.60000014 -0.871159565  1.03292871 -1.90408827
  3.70000005 -0.871161732  0.987303078 -1.85846481
  3.79999995 -0.871169811  0.975651324 -1.84682114
  3.9000001 -0.87117888  0.991892457 -1.86307134
  4. -0.871110245  1.00359523 -1.87470548
  4.0999999 -0.871151618  0.995377541 -1.86652916
  4.20000029 -0.871140946  1.00051069 -1.87165164
  4.30000019 -0.871139741  1.0292449 -1.90038464
  4.4000001 -0.87113851  1.07685339 -1.9479919
  4.5 -0.871154028  1.13710475 -2.00825878
  4.5999999 -0.871139208  1.20201135 -2.07315056
  4.70000029 -0.871136702  1.24520743 -2.11634413
  4.80000019 -0.871249345  1.25002801 -2.12127736
  4.9000001 -0.871232479  1.2478478 -2.11908027
  5. -0.8711939  1.24798584 -2.11917974
  5.0999999 -0.871237307  1.24247193 -2.11370924
  5.20000029 -0.871233842  1.25539196 -2.1266258
  5.30000019 -0.871229655  1.30272329 -2.17395294
  5.4000001 -0.871237733  1.37684155 -2.24807928
  5.5 -0.871234204  1.45927274 -2.33050695
  5.5999999 -0.87135648  1.50817752 -2.379534
  5.70000029 -0.871317017  1.53139591 -2.40271293
  5.80000019 -0.871321337  1.56673348 -2.43805482
  5.9000001 -0.871319381  1.63953471 -2.51085409
  6. -0.871323896  1.76948404 -2.64080794
  6.0999999 -0.871384545  1.97294974 -2.84433429
  6.20000029 -0.871199556  2.22881961 -3.10001916
  6.30000019 -0.871207215  2.40924239 -3.28044961
  6.4000001 -0.871525426  2.45396066 -3.32548608
  6.5 -0.871509583  2.40836453 -3.27987412
  6.5999999 -0.871269144  2.31192732 -3.18319646
  6.70000029 -0.871410644  2.18265605 -3.05406669
  6.80000019 -0.871366786  2.07546997 -2.94683676
  6.9000001 -0.871378215  2.00165582 -2.87303403
  7. -0.871390683  1.97031546 -2.84170614
  7.0999999 -0.871385869  1.98573136 -2.85711723
  7.20000029 -0.871439122  2.01569653 -2.88713565
  7.30000019 -0.871429843  2.03428674 -2.90571658
  7.4000001 -0.871464938  2.02849841 -2.89996335
  7.5 -0.871362657  1.99607337 -2.86743602
  7.5999999 -0.871457425  1.94630003 -2.81775746
  7.70000029 -0.871442543  1.90961635 -2.78105889
  7.80000019 -0.871409933  1.87163711 -2.74304704
  7.9000001 -0.87175284  1.77025056 -2.6420034
  8. -0.871692387  1.65465808 -2.52635047
  8.10000038 -0.871682848  1.58077562 -2.45245847
