  0. -2.39666989  0. -2.39666989
  0.100000001 -2.39666989  0.00730234897 -2.40397224
  0.200000003 -2.39666989  0.0294692982 -2.42613919
  0.300000012 -2.39666992  0.0672879443 -2.46395786
  0.400000006 -2.39666998  0.122084543 -2.51875452
  0.5 -2.3966702  0.195698589 -2.59236879
  0.600000024 -2.39667073  0.290294409 -2.68696514
  0.699999988 -2.39667235  0.40766862 -2.80434097
  0.800000012 -2.39667534  0.547240615 -2.94391595
  0.900000036 -2.39667624  0.701664567 -3.09834081
  1. -2.39667365  0.852927506 -3.24960116
  1.10000002 -2.39667389  0.980185628 -3.37685952
  1.20000005 -2.39669384  1.0773083 -3.47400214
  1.30000007 -2.39665467  1.14912641 -3.54578108
  1.39999998 -2.3966936  1.19845843 -3.59515203
  1.5 -2.39669015  1.24766994 -3.64436008
  1.60000002 -2.39667985  1.30600321 -3.70268307
  1.70000005 -2.39667916  1.36039305 -3.75707221
  1.80000007 -2.39668969  1.39697456 -3.79366425
  1.89999998 -2.39668092  1.4121623 -3.80884322
  2. -2.39669122  1.40844965 -3.80514087
  2.10000014 -2.3967007  1.39849102 -3.79519173
  2.20000005 -2.39668444  1.3860966 -3.78278104
  2.29999995 -2.39669023  1.35466194 -3.75135217
  2.4000001 -2.39670546  1.30312312 -3.69982858
  2.5 -2.39670016  1.24908113 -3.64578129
  2.60000014 -2.39669789  1.19949317 -3.59619106
  2.70000005 -2.39669928  1.153512 -3.55021128
  2.79999995 -2.39669833  1.10945845 -3.50615678
  2.9000001 -2.39669633  1.0645566 -3.46125293
  3. -2.39669854  1.0178777 -3.41457624
  3.10000014 -2.39669879  0.972964466 -3.36966326
  3.20000005 -2.39669814  0.934531868 -3.33123001
  3.29999995 -2.39669834  0.907034934 -3.30373327
  3.4000001 -2.39669916  0.895607471 -3.29230663
  3.5 -2.39670013  0.904760361 -3.30146049
  3.60000014 -2.3966977  0.935442924 -3.33214062
  3.70000005 -2.39669912  0.983933568 -3.38063269
  3.79999995 -2.39670208  1.04615247 -3.44285455
  3.9000001 -2.39669634  1.11642826 -3.51312459
  4. -2.39669839  1.18670964 -3.58340803
  4.0999999 -2.39670368  1.26006734 -3.65677102
  4.20000029 -2.39669831  1.34969795 -3.74639626
  4.30000019 -2.39670166  1.46982145 -3.86652312
  4.4000001 -2.39670664  1.6397661 -4.03647274
  4.5 -2.39671907  1.87975514 -4.27647421
  4.5999999 -2.39672533  2.19570184 -4.59242717
  4.70000029 -2.3967208  2.56222963 -4.95895043
  4.80000019 -2.39675786  2.90903974 -5.3057976
  4.9000001 -2.39658859  3.10215402 -5.4987426
  5. -2.39701629  3.03823423 -5.43525052
  5.0999999 -2.39701148  2.86750078 -5.26451227
  5.20000029 -2.39700718  2.67727828 -5.07428546
  5.30000019 -2.39711087  2.45870113 -4.855812
  5.4000001 -2.39709811  2.25850153 -4.65559964
  5.5 -2.39707621  2.10809588 -4.50517209
  5.5999999 -2.39708238  1.99693024 -4.39401262
  5.70000029 -2.39707964  1.91192007 -4.30899971
  5.80000019 -2.39708361  1.84199131 -4.23907491
  5.9000001 -2.39707839  1.77930641 -4.1763848
  6. -2.39708722  1.72555459 -4.1226418
  6.0999999 -2.39708903  1.69381976 -4.09090879
  6.20000029 -2.39708743  1.69579446 -4.09288189
  6.30000019 -2.39708116  1.73222709 -4.12930825
  6.4000001 -2.39708997  1.79697728 -4.19406726
  6.5 -2.39708306  1.88258624 -4.2796693
  6.5999999 -2.397092  1.97879362 -4.37588562
  6.70000029 -2.39708469  2.07610345 -4.47318813
  6.80000019 -2.39711008  2.16723084 -4.56434092
  6.9000001 -2.39707703  2.25303984 -4.65011687
  7. -2.39705477  2.33292437 -4.72997913
  7.0999999 -2.39710468  2.41712427 -4.81422895
  7.20000029 -2.39708097  2.51418447 -4.91126544
  7.30000019 -2.39701857  2.60096478 -4.99798336
  7.4000001 -2.39709045  2.65105796 -5.04814841
  7.5 -2.39709044  2.67226863 -5.06935907
  7.5999999 -2.39707787  2.67118573 -5.0682636
  7.70000029 -2.39706287  2.63706923 -5.03413209
  7.80000019 -2.39702403  2.56180763 -4.95883166
  7.9000001 -2.39704619  2.46188331 -4.8589295
  8. -2.39705188  2.37364006 -4.77069194
  8.10000038 -2.39701545  2.3135736 -4.71058905
